,beer_style,abv,num_ratings,beer_style_group,prepped_words,month_added,year_added,Dominant_Topic,Topic_Perc_Contrib
5317,IPA - Black / Cascadian Dark Ale,7.2,7594,IPA,"['dark', 'unite', 'bring', 'age', 'bitterness', 'pithy', 'grapefruit', 'resin', 'combine', 'dark', 'chocolate', 'roasty', 'coffee', 'hit', 'deliver', 'resonating', 'bitterness', 'go', 'beyond', 'ibus']",2,2016,4.0,0.2026
5318,Barleywine - English,14.0,4634,Barleywine,"['many', 'storm', 'mother', 'storm', 'stand', 'apart', 'rest', 'aged', 'kentucky', 'bourbon', 'barrel', 'delivers', 'deep', 'toasted', 'bourbon', 'oak', 'vanilla', 'toffee', 'caramel']",4,2012,3.0,0.2139
5319,Grätzer / Grodziskie,5.0,182,Other,"['amara', 'interpretation', 'grodziskie', 'grodziskie', 'poland', 'dating', 'back', 'least', 'used', 'smoked', 'wheat', 'quite', 'bit', 'argued', 'whether', 'grodziskie', 'actually', 'sour', 'said', 'sour', 'version', 'grodziskie', 'amara', 'sour', 'young', 'grodziskie', 'old', 'grodziskie', 'matured', 'zinfandel', 'barrel', 'coming', 'napa', 'ca']",7,2015,5.0,0.2352
5320,English Mild Ale,4.3,176,Other,"['dark', 'fruity', 'mild', 'nutty', 'chocolate', 'originally', 'collab', 'west', 'kirby', 'tap']",1,2018,2.0,0.2056
5321,Cider - Other Fruit,6.0,388,Cider,"['edge', 'summer', 'cider', 'offering']",5,2016,4.0,0.1914
5322,IPA - Black / Cascadian Dark Ale,10.0,692,IPA,"['big', 'bold', 'faint', 'heart', 'slightly', 'roasty', 'moderate', 'bitterness', 'slightly', 'fruity', 'chinook', 'warrior', 'magnum']",3,2014,4.0,0.2293
5323,Cider - Sweet,4.8,859,Cider,"['breton', 'cider', 'smooth', 'velvety', 'oh', 'richly', 'flavoursome', 'big', 'tannic', 'punch', 'delivers', 'natural', 'apple', 'sweetness', 'craft', 'could', 'perfect', 'wild', 'fruity', 'mature', 'cider']",6,2016,3.0,0.2174
5324,Spiced / Herbed Beer,5.5,163,Other,"['multicultural', 'nature', 'canberra', 'showcased', 'festival', 'using', 'ethiopian', 'purple', 'barley', 'tibetan', 'black', 'barley', 'chilli', 'around', 'world', 'chilli', 'certain', 'fire', 'belly', 'celebrate', 'thing', 'culture']",12,2016,6.0,0.2077
5325,Strong Ale - American,14.0,17664,Strong Ale,"['ultimate', 'box', 'set', 'never', 'released', 'bourbon', 'barrel', 'version', 'judgment', 'day', 'thought', 'might', 'interesting', 'take', 'base', 'cuvee', 'de', 'tomme', 'age', 'fill', 'bourbon', 'barrel', 'let', 'mother', 'nature', 'take', 'course', 'rock', 'roll', 'inspired', 'box', 'set', 'leave', 'well', 'enough', 'alone', 'upon', 'sampling', 'base', 'became', 'apparent', 'raisin', 'used', 'base', 'going', 'drive', 'bus', 'conversation', 'turned', 'oatmeal', 'raisin', 'cooky', 'essence', 'freshly', 'baked', 'treat', 'added', 'cinnamon', 'stick', 'barrel', 'threw', 'dried', 'chile', 'well']",8,2012,6.0,0.2322
5326,Pale Ale - American,6.3,1513,Pale Ale,"['unsung', 'hero', 'foot', 'soldier', 'revolution', 'owe', 'huge', 'debt', 'billion', 'tiny', 'yeast', 'cell', 'work', 'tirelessly', 'ferment', 'sugar', 'alcohol', 'co', 'yeast', 'grunt', 'work', 'yeast', 'power', 'change', 'complexion', 'instant', 'series', 'designed', 'showcase', 'impact', 'different', 'yeast', 'base', 'series', 'give', 'limelight', 'four', 'totally', 'different', 'yeast', 'strain', 'belgian', 'trappist', 'pilsen', 'bavarian', 'weizen', 'using', 'centennial', 'amarillo', 'backbone', 'munich', 'cara', 'mari', 'otter', 'crystal', 'caramalt', 'centennial', 'amarillo']",10,2013,5.0,0.274
5327,Sour - Gose,4.8,175,Sour,"['friend', 'port', 'street', 'came', 'idea', 'rice', 'gose', 'tamarind', 'turmeric', 'light', 'crisp', 'sharp', 'refreshing', 'gose', 'sweet', 'sour', 'tamarind', 'combine', 'subtle', 'earthiness', 'turmeric']",9,2018,4.0,0.2079
5328,Pale Ale - American,5.5,653,Pale Ale,"['keg', 'per', 'account', 'iteration', 'ddh', 'series', 'golden', 'promise', 'fermented', 'london', 'esb', 'yeast', 'fruity', 'ester', 'produced', 'yeast', 'complimented', 'tropical', 'fruit', 'ella', 'ekuanot', 'citra']",3,2017,1.0,0.2582
5329,Cider - Graff,10.0,922,Cider,"['cider', 'brandy', 'barrel', 'apple', 'dry', 'special']",4,2013,3.0,0.2202
5330,Hefeweizen,4.4,188,Other,"['christoph', 'foray', 'motivated', 'desire', 'provide', 'deprived', 'father', 'favourite', 'summer', 'bier', 'south', 'wheat', 'sentimental', 'family', 'zierholz', 'weizen', 'characteristic', 'traditional', 'wheat', 'featuring', 'banana', 'fruitiness', 'tropical', 'bubblegum', 'vanilla', 'well', 'clovey', 'spiciness', 'sweet', 'front', 'balanced', 'refreshingly', 'tart', 'finsh', 'even', 'though', 'germany', 'many', 'drink', 'summer', 'round', 'want', 'deprive', 'fan', 'way', 'zierholz', 'senior', 'many']",3,2011,5.0,0.2857
5331,IPA - American,7.5,94766,IPA,"['crosscontinental', 'australian', 'tropical', 'heavy', 'open', 'glass', 'hugely', 'flavorful', 'lemonlime', 'pineapple', 'orange', 'sorbet', 'tangerine', 'soft', 'pointed', 'bitterness', 'rich', 'velvety', 'mouth', 'feel', 'intensely', 'kettle', 'dry', 'hopped', 'yet', 'balanced', 'flavorful', 'green', 'beloved', 'crew', 'favorite', 'tree']",12,2013,1.0,0.2634
5332,Bock - Doppelbock,9.0,538,Bock,"['dark', 'strong', 'interpretation', 'double', 'bock', 'full', 'bodied', 'raisiny', 'dark', 'fruit', 'slightly', 'roasted', 'chewy', 'lagered', 'smooth', 'balance', 'high', 'strong', 'grain']",3,2013,4.0,0.2512
5333,Pilsner - Czech,5.0,1242,Pilsner,"['czech', 'pilsner', 'staropramen', 'sainsbury', 'supermarket', 'uk']",4,2012,5.0,0.2024
5334,Stout - Imperial / Double,11.3,1804,Stout,"['latest', 'release', 'abstrakt', 'series', 'aged', 'barrel', 'ab', 'cherry', 'aged', 'ex', 'sherry', 'whisky', 'barrel', 'cherry', 'sherry', 'recipe', 'devised', 'production', 'manager', 'nikola', 'based', 'classic', 'schwarzlwald', 'dessert', 'special', 'pretty', 'much', 'team', 'blown', 'away', 'oak', 'aged', 'rattled', 'bottling', 'line']",3,2013,3.0,0.3008
5335,Pilsner - Czech,5.1,155,Pilsner,"['serious', 'refreshment', 'cold', 'fermented', 'pilsner', 'traditional', 'saaz', 'savinsky', 'golding', 'extra', 'mosaic', 'make', 'tropical', 'attitude', 'enjoy', 'cold', 'cask']",5,2015,5.0,0.1953
5336,English Bitter,3.7,372,Other,"['turner', 'sticklebract', 'bitter', 'cask', 'conditioned', 'named', 'artist', 'william', 'turner', 'born', 'site', 'bar', 'london', 'dispensed', 'old', 'school', 'via', 'hand', 'pump', 'bright', 'traditional', 'alestyle', 'bitter', 'zealand', 'sticklebract', 'deliver', 'fragrant', 'aromatic', 'floral', 'counterpointed', 'mouth', 'subtle', 'bitterness', 'quaffer', 'turner', 'would', 'marvel', 'composition']",4,2011,2.0,0.2601
5337,American Wild Ale,7.0,1241,Other,"['pulling', 'nail', 'ongoing', 'experiment', 'art', 'blending', 'create', 'sour', 'wild', 'extraordinary', 'depth', 'complexity', 'balance', 'union', 'méthode', 'traditionnelle', 'inoculated', 'coolship', 'spontaneously', 'fermented', 'aged', 'french', 'oak', 'puncheons', 'small', 'portion', 'old', 'missouri', 'saison', 'blended', 'refermented', 'raspberry', 'cherry', 'naturally', 'conditioned', 'several', 'release']",7,2018,3.0,0.4641
5338,Lager - Pale,5.0,2085,Lager,"['wooha', 'bright', 'effervescent', 'true', 'form', 'overly', 'hopped', 'still', 'strength', 'spicey', 'provided', 'three', 'variety', 'robustness', 'matched', 'strong', 'grain', 'bill', 'give', 'full', 'round', 'mouthfeel', 'wooha', 'decidedly', 'packed', 'refreshing']",6,2015,4.0,0.2282
5339,Pilsner - Czech,4.9,260,Pilsner,"['cask', 'version', 'whitstable', 'pilsner', 'czechstyle', 'pilsner', 'authentic', 'recipe', 'using', 'saaz', 'naturally', 'lagered', 'racked', 'cask', 'creates', 'refreshing', 'slightly', 'eccentric', 'perfect', 'nt', 'mind', 'little', 'rule', 'breaking']",5,2012,5.0,0.25
5340,Farmhouse Ale - Saison,5.7,973,Farmhouse Ale,"['subtle', 'take', 'classic', 'yeast', 'bay', 'wallonian', 'farmhouse', 'yeast', 'strain', 'really', 'star', 'imparting', 'mild', 'funk', 'compliment', 'dry', 'refreshing', 'saison', 'nose', 'orange', 'hay', 'lingering', 'funk', 'tongue', 'expect', 'initial', 'light', 'bitterness', 'give', 'way', 'light', 'spritzy', 'almost', 'lemon', 'long', 'dry', 'whilst', 'still', 'retaining', 'funky', 'barnyard', 'characteristic']",3,2016,5.0,0.258
5341,Stout - White,7.4,2211,Stout,"['sweet', 'vanilla', 'goodness', 'classic', 'cookie', 'dough', 'chocolate', 'chip', 'good', 'measure', 'rum', 'barrel', 'aged', 'coffee', 'nuttiness', 'collabfest', 'brewdog', 'clerkenwell']",10,2017,6.0,0.2353
5342,Sour - Fruited,7.0,811,Sour,"['together', 'worldwide', 'openended', 'collaboration', 'created', 'raise', 'support', 'hospitality', 'industry', 'effort', 'raise', 'awareness', 'provide', 'relief', 'due', 'covid', 'pandemic', 'portion', 'proceeds', 'donated', 'member', 'team', 'work', 'along', 'baristas', 'favorite', 'local', 'coffee', 'roaster', 'rochester', 'area', 'version', 'together', 'hydra', 'recipe', 'lovingly', 'called', 'berry', 'cherry', 'featuring', 'strawberry', 'raspberry', 'blueberry', 'blackberry', 'boysenberry', 'goldenberry', 'cranberry', 'sweet', 'cherry', 'finished', 'marshmallow', 'fluff', 'requested', 'good', 'friend', 'otherhalf']",5,2020,2.0,0.3344
5343,Traditional Ale,4.7,248,Other,"['signature', 'easydrinking', 'amber', 'lightly', 'hopp']",11,2018,5.0,0.198
5344,Pale Ale - American,5.3,314,Pale Ale,"['wall', 'series', 'featuring', 'art', 'kvlr', 'ddh', 'simcoe', 'mosaic', 'unfiltered', 'unpasteurised', 'unadulterated', 'drink', 'fresh', 'wall', 'series', 'art', 'kv']",6,2019,1.0,0.2272
5345,Belgian Quadrupel,11.3,360,Belgian,"['barrel', 'aged', 'series', 'belgian', 'quadruple', 'authentic', 'belgian', 'yeast', 'aged', 'raspberry', 'ex', 'redwine', 'barrel', 'nine', 'fruity', 'complex', 'decadent']",7,2020,3.0,0.2051
5346,Sour - Berliner Weisse,3.2,293,Sour,"['brewdog', 'love', 'hidden', 'track', 'unexpected', 'discovery', 'bsides', 'take', 'hl', 'pilot', 'kit', 'place', 'let', 'imagination', 'fly', 'lay', 'unpredictable', 'creative', 'track', 'team', 'use', 'dial', 'smallscale', 'experimental', 'finding', 'way', 'bar', 'draughtonly', 'special', 'release', 'however', 'felt', 'naming', 'convention', 'used', 'previously', 'pilot', 'xxx', 'nt', 'fully', 'reflected', 'ingenuity', 'displayed', 'depict', 'little', 'better', 'release', 'pilot', 'bona', 'fide', 'bside', 'alongside', 'productionbatch', 'launch', 'take', 'place', 'bar', 'able', 'discover', 'flip', 'side', 'form', 'bside', 'release']",5,2016,2.0,0.5929
5347,Grape Ale - Other,8.9,498,Other,"['somewhere', 'wine', 'found', 'blur', 'line', 'winelike', 'acidity', 'dry', 'blurred', 'sb', 'showcase', 'sauvignon', 'blanc', 'grape', 'express', 'passion', 'fruit', 'kaffir', 'lime', 'granny', 'smith', 'apple', 'white', 'peach']",6,2019,3.0,0.2709
5348,Bière de Champagne / Bière Brut,11.0,1032,Other,"['enlightenment', 'brut', 'bière', 'de', 'champagne', 'belgian', 'strong', 'golden', 'conditioned', 'using', 'traditional', 'méthode', 'champenoise', 'extended', 'warm', 'fermentation', 'using', 'multiple', 'yeast', 'strain', 'combined', 'traditional', 'refermentation', 'riddling', 'disgorgement', 'process', 'produce', 'immense', 'fruity', 'subtle', 'spiciness', 'crisp', 'zesty', 'carbonation', 'dry', 'refreshing']",4,2012,5.0,0.2698
5349,Stout - Milk / Sweet,5.0,200,Stout,"['coffee', 'milk']",6,2017,6.0,0.1987
5350,Pilsner - Imperial / Double,7.1,525,Pilsner,"['pilsner', 'pilsner', 'lightly', 'hopped', 'callista', 'huell', 'melon', 'dry', 'hopped', 'lupulin', 'mosaic', 'extended', 'lagering', 'period']",5,2020,1.0,0.2396
5351,Stout - Imperial / Double,13.2,188,Stout,"['uscious', 'beautiful', 'big', 'rich', 'bourbon', 'oak', 'vanilla', 'nose']",9,2019,3.0,0.1954
5352,Stout - Imperial / Double,14.5,6187,Stout,"['proprietor', 'bourbon', 'county', 'homage', 'beloved', 'bourbon', 'county', 'variant', 'past', 'toasted', 'pecan', 'coconut', 'cocoa', 'vanilla', 'mingle', 'together', 'create', 'reminiscent', 'tiramisu', 'expect', 'dark', 'chocolate', 'toasted', 'coconut', 'caramel', 'round', 'decadent', 'ca', 'nt', 'wait', 'share', 'proprietor', 'loyal', 'fan', 'hometown', 'chicago']",5,2019,6.0,0.3098
5353,Lager - Helles,5.2,6431,Lager,"['paolozzi', 'based', 'often', 'overlooked', 'yet', 'historic', 'munichhelles', 'inspired', 'life', 'work', 'eduardo', 'paolozzi', 'refined', 'bittersweet', 'balance', 'paolozzi', 'word', 'something', 'sublime', 'everyday']",10,2015,2.0,0.2554
5354,Sour - Fruited,3.5,2796,Sour,"['taken', 'classic', 'cocktail', 'beerified', 'kaffir', 'lime', 'peppermint', 'leaf', 'boil', 'give', 'citrussy', 'minty', 'given', 'signature', 'zing', 'fresh', 'citrus', 'kettle', 'souring', 'super', 'light', 'super', 'refreshing', 'fresh', 'better', 'sit', 'sun']",6,2017,5.0,0.2613
5355,Scotch Ale / Wee Heavy,7.4,547,Other,"['wee', 'heavy', 'assuming', 'course', 'addled', 'folk', 'singer', 'need', 'escape', 'remote', 'scottish', 'outpost', 'reconnect', 'important', 'life', 'nature', 'roaring', 'fire', 'taste', 'fruit', 'cake', 'caramel']",7,2019,6.0,0.2413
5356,Brown Ale - American,5.5,252,Brown Ale,"['test', 'addition', 'core', 'range', 'combine', 'irish', 'kiwi', 'dark', 'cavalcade', 'including', 'amarillo', 'lemondrop', 'plenty', 'citrus', 'tang', 'balanced', 'sweet', 'medium']",2,2017,4.0,0.2288
5357,Hefeweizen,4.2,436,Other,"['pberry', 'refreshing', 'lacto']",6,2018,5.0,0.1803
5358,Malt Beer,5.6,394,Other,"['smash', 'stand', 'single', 'single', 'willamette', 'row', 'british', 'yeast', 'result', 'light', 'easy', 'balanced']",6,2014,5.0,0.2151
5359,IPA - Imperial / Double,8.3,234,IPA,"['oz', 'hopped', 'double']",3,2015,1.0,0.195
5360,Spiced / Herbed Beer,7.9,518,Other,"['epicurean', 'series', 'barrel', 'aged', 'sour', 'italian', 'pear', 'louise', 'swenson', 'grape', 'red', 'raspberry', 'cinnamon', 'vanilla', 'bean', 'clove', 'nutmeg', 'ginger']",11,2018,3.0,0.2369
5361,Golden Ale,4.7,482,Other,"['golden', 'deliciously', 'soft', 'vanilla', 'oak', 'whisky', 'warmth']",8,2016,3.0,0.1813
5362,Brown Ale - Imperial / Double,7.4,399,Brown Ale,"['indian', 'al']",4,2014,5.0,0.188
5363,Stout - Imperial / Double White,8.0,376,Stout,"['golden', 'java', 'milk', 'aged', 'whiskey', 'barrel', 'barrel', 'change', 'per', 'batch', 'brandy', 'bourbon', 'barrel', 'elijah', 'craig', 'barrel']",2,2015,3.0,0.2957
5364,Blonde Ale,4.2,11912,Other,"['blonde', 'entirely', 'nelson', 'sauvin', 'zealand', 'varietal', 'meld', 'beautifully', 'simple', 'bill', 'true', 'session', 'make', 'compromise', 'delicate', 'bouquet', 'passion', 'fruit', 'slight', 'lemon', 'surely', 'quench', 'thirst', 'batch', 'bbl', 'ridiculously', 'fresh']",12,2013,5.0,0.2339
5365,IPA - Black / Cascadian Dark Ale,6.4,284,IPA,"['black', 'rye', 'iron', 'fist', 'velvet', 'glov']",3,2013,6.0,0.1845
5366,Brown Ale - Other,5.2,684,Brown Ale,"['nut', 'hide', 'nut', 'squrl', 'town', 'nut', 'low', 'bitterness', 'chocolatey', 'velvety', 'mouthfeel', 'nutty', 'suitable', 'vegan', 'squrls']",9,2020,6.0,0.2359
5367,Red Ale - Other,4.5,315,Red Ale,"['deep', 'chestnutty', 'ruby', 'feature', 'rich', 'malty', 'overtone', 'balanced', 'fruity']",10,2012,4.0,0.2392
5368,Stout - Other,5.2,1828,Stout,"['oasty', 'dark', 'complex', 'stereo', 'wolf', 'cacophony', 'hopdriven', 'fruit', 'spice', 'dark', 'chocolate', 'stalk', 'alongside', 'resonating', 'bitterness', 'stereo', 'wolf', 'lingering', 'dry', 'balancing', 'roasty', 'world', 'mean', 'feat', 'stereo', 'wolf', 'take', 'stride', 'carafa', 'extra', 'flaked', 'oat', 'roasted', 'barley', 'special', 'w', 'wheat', 'bramling', 'x', 'centennial', 'galena', 'willamett']",2,2015,4.0,0.2727
5369,Belgian Quadrupel,10.5,296,Belgian,"['using', 'belgian', 'candi', 'syrup', 'deliciously', 'drinkable', 'gentle', 'warming', 'used', 'strain', 'yeast', 'originally', 'westmalle', 'abbey', 'aged', 'number', 'release', 'continue', 'develop', 'improve', 'age', 'please', 'drink', 'c']",5,2013,5.0,0.2095
5370,Old Ale,18.5,4687,Other,"['aged', 'bourbon', 'barrel', 'maple', 'syrup', 'dark', 'muscovado', 'sugar']",5,2016,6.0,0.2299
5371,IPA - Milkshake,7.4,3374,IPA,"['stranger', 'multihopped', 'lactoseinfused', 'luxuriant', 'tropical', 'milkshake', 'straightup', 'ddh', 'milk', 'sugar', 'something', 'tried', 'mash', 'paddle', 'showcase', 'classic', 'amarillo', 'resinous', 'variety', 'full', 'tangerine', 'orange', 'lemon', 'zest', 'floral', 'backed', 'everyone', 'favourite', 'tropical', 'treat', 'citra', 'balanced', 'favourite', 'touch', 'dankness', 'columbus', 'loral', 'hybrid', 'variety', 'citrus', 'herbal', 'base', 'flaked', 'oat', 'wheat', 'touch', 'dextrose', 'boost', 'fermentable', 'sugar', 'course', 'heavy', 'dose', 'lactose', 'milk', 'sugar', 'boil', 'round', 'silky', 'juicy', 'citrus', 'bomb']",6,2019,1.0,0.3673
5372,Bock - Weizenbock,8.5,858,Bock,"['brooklyn', 'schneider', 'brewmaster', 'hanspeter', 'drexler', 'full', 'orange', 'color', 'aromatics', 'pair', 'banana', 'clove', 'schneider', 'yeast', 'mango', 'citrus', 'quality', 'bitterness', 'robust', 'balanced', 'clean', 'hoppy']",7,2011,5.0,0.2809
5373,Non-Alcoholic Beer,0.3,223,Other,"['came', 'magic', 'formula', 'pleasure', 'drink', 'also', 'complement', 'healthy', 'lifestyle', 'bavaria', 'home', 'great', 'fitbeer', 'ever', 'four', 'simple', 'natural', 'isotonic', 'packed', 'full', 'bvitamins', 'kcal', 'per']",10,2016,2.0,0.1944
5374,Belgian Strong Dark Ale,8.6,300,Belgian,"['big', 'winter', 'celebrate', 'frost', 'snow', 'flurry', 'smell', 'wood', 'fire', 'england', 'winter', 'strong', 'belgian', 'dark', 'big', 'winter', 'dark', 'fruit', 'burnt', 'sugar', 'toffee', 'taking', 'body', 'rich', 'chocolate', 'lingering', 'candy', 'sweetness', 'wait', 'cold', 'evening', 'wear', 'beanie', 'chocolate', 'crystal', 'dark', 'pilsner', 'munich', 'wheat', 'magnum', 'styrian', 'golding', 'hallertau']",7,2015,6.0,0.3333
5375,Stout - Irish Dry,4.0,742,Stout,"['dry', 'irish', 'black', 'coal', 'smoother', 'silk']",12,2015,1.0,0.1845
5376,Farmhouse Ale - Saison,6.3,362,Farmhouse Ale,"['aged', 'saison', 'addition', 'fresh', 'lemon', 'slice', 'local', 'rosemary', 'light', 'dry', 'refreshing']",6,2019,5.0,0.2095
5377,Dark Ale,11.5,449,Other,"['using', 'english', 'grain', 'yeast', 'expect', 'strong', 'chocolate', 'along', 'molasses', 'derived', 'dark', 'sugar', 'named', 'district', 'jack', 'ripper', 'traveled', 'london']",10,2014,6.0,0.1987
5378,IPA - International,6.4,181,IPA,"['leased', 'indie', 'day', 'latest', 'indie', 'showcasing', 'hpa', 'throughout', 'fermentation', 'dryhop', 'process', 'result', 'fruit', 'bowl', 'face', 'enough', 'malty', 'goodness', 'balanceget', 'around']",7,2020,1.0,0.2189
5379,English Bitter,5.0,1110,Other,"['take', 'english', 'amber', 'packed', 'full', 'malty', 'nutty', 'floral', 'fruity', 'yorkshire', 'yeast', 'background', 'caramel', 'sweetness', 'fiery', 'colour', 'inspired', 'name', 'hellfire', 'gully', 'exhilarating', 'drop', 'mt', 'feathertop', 'adventurous', 'backcountry', 'skier']",12,2010,4.0,0.243
5380,Red Ale - American Amber / Red,6.2,457,Red Ale,"['great', 'thing', 'happen', 'take', 'heavenly', 'infuse', 'together', 'dried', 'fruit', 'caramel', 'touch', 'chocolate', 'amber', 'perfect', 'companion', 'brick', 'mortar', 'ethiopian', 'hit', 'big', 'coffee', 'enhanced', 'toasted', 'grain', 'bill', 'sweet']",6,2018,6.0,0.2282
5381,Lambic - Framboise,4.0,451,Lambic,"['tart', 'gueuzelike', 'lambic', 'raspberry', 'favorite', 'among', 'wine', 'drinker']",10,2018,3.0,0.2203
5382,Brown Ale - Imperial / Double,10.0,1297,Brown Ale,"['celebrate', 'th', 'gyle', 'cake', 'invited', 'piece', 'parkin', 'cake', 'replicate', 'northern', 'speciality', 'parkin', 'traditional', 'cake', 'oatmeal', 'black', 'treacle', 'ginger', 'treat', 'complex', 'base', 'black', 'treacle', 'dark', 'muscovado', 'sugar', 'ginger', 'allspice', 'nutmeg', 'rich', 'smooth', 'layer', 'sweet', 'treacle', 'spice', 'leading', 'drying', 'full', 'warming', 'ginger']",9,2018,6.0,0.3708
5383,Strong Ale - Other,10.5,2354,Strong Ale,"['dark', 'stormy', 'emerges', 'confluence', 'point', 'sea', 'surge', 'south', 'smooth', 'molasses', 'exotic', 'spice', 'caribbean', 'rum', 'barrel', 'blow', 'north', 'bright', 'ginger', 'turbinado', 'sugar', 'crash', 'together', 'form', 'perfect', 'balance', 'dark', 'stormy']",2,2016,6.0,0.2165
5384,Stout - Other,14.5,352,Stout,"['ird', 'applebourbon', 'barrel', 'chocolate', 'belize', 'cacao', 'nib', 'tahitian', 'vanilla', 'toasted', 'coconut']",12,2018,6.0,0.2678
5385,Pale Ale - American,5.4,1502,Pale Ale,"['ctose', 'lemon', 'zest', 'cascade', 'lemon', 'drop']",7,2018,5.0,0.2341
5386,Dark Ale,5.2,495,Other,"['rich', 'ark', 'combining', 'fusion', 'coffee', 'chocolate', 'deep', 'fruity', 'aftertaste']",4,2011,6.0,0.209
5387,IPA - Belgian,5.8,604,IPA,"['monster', 'belgium', 'dryhopped', 'twice', 'provide', 'mega', 'hit', 'complement', 'interesting', 'quality', 'unique', 'belgian', 'yeast', 'strain', 'provide']",5,2012,5.0,0.2587
5388,IPA - Sour,6.2,1349,IPA,"['castilian', 'lemon', 'juice', 'zest', 'combine', 'trio', 'lemony', 'world', 'dessert', 'inspired', 'citrus', 'symphony', 'layer', 'upon', 'beautiful', 'biscuity', 'base', 'drizzle', 'indulgent', 'honey', 'sweetness', 'sprinkling', 'sea', 'salt', 'refreshing', 'sourness', 'drink', 'smooth', 'creamy', 'mouthfeel']",3,2020,6.0,0.2068
5389,Lambic - Traditional,6.0,668,Lambic,"['mbicstyle', 'barrelaged', 'gueuze', 'refermented', 'belgian', 'candi', 'sugar', 'steeped', 'merlot', 'grape']",4,2013,3.0,0.2519
5390,IPA - Milkshake,7.5,2570,IPA,"['milkshake', 'hundred', 'pound', 'fresh', 'strawberry', 'puree', 'vanilla', 'bean', 'lactose', 'milk', 'sugar', 'oat', 'used', 'develop', 'thick', 'n', 'rich', 'body']",1,2019,6.0,0.2172
5391,Porter - Coffee,4.6,480,Porter,"['double', 'hit', 'canned', 'coffee', 'porter', 'kick', 'using', 'coffee', 'local', 'roastery', 'scottish', 'highland', 'created', 'smooth', 'dark', 'roasted', 'beauty']",11,2018,6.0,0.234
5392,IPA - American,6.8,4609,IPA,"['featuring', 'galaxy']",5,2016,1.0,0.1987
5393,Grisette,4.0,1870,Other,"['european', 'hopped', 'session', 'blonde', 'farmhouse', 'aged', 'chardonnay', 'barrel', 'brettanomyces', 'lactobacillu']",6,2015,3.0,0.2389
5394,Table Beer,3.3,916,Other,"['treat', 'day', 'hour', 'literally', 'drink', 'anything', 'responsibly', 'double', 'dry', 'hopped', 'table', 'cryo', 'mosaic', 'vic', 'secret', 'amarillo', 'follow', 'simple', 'instruction', 'amazed', 'result']",11,2018,1.0,0.2651
5395,Sour - Fruited,5.5,154,Sour,"['concept', 'jam', 'roll', 'version', 'jam', 'intensely', 'fruited', 'sour', 'full', 'mango', 'ruby', 'red', 'grapefruit', 'pours', 'vibrant', 'shade', 'orange', 'glow', 'brightly', 'sunshine', 'upfront', 'juicy', 'mango', 'backend', 'quickly', 'layer', 'acidic', 'tartness', 'welcome', 'grapefruit', 'bitterness', 'lingering', 'grapefruit', 'zest', 'combined', 'mango', 'sweetness', 'reminiscent', 'eating', 'frosty', 'fruit', 'making', 'comeback', 'summer']",7,2020,4.0,0.2521
5396,Lager - American,4.7,262,Lager,"['long', 'awaited', 'collab', 'buddy', 'charles', 'towne', 'fermentory', 'crispy', 'love', 'child', 'yacht', 'party', 'sunnyside', 'dweller', 'love', 'turned', 'although', 'originally', 'meant', 'drank', 'th', 'anniversary', 'celebration', 'gon', 'na', 'enjoy', 'hell']",6,2020,2.0,0.3881
5397,Porter - Other,6.6,525,Porter,"['beautifully', 'rolled', 'robust', 'porter', 'jalapeños', 'chocolate', 'slight', 'smoked', 'beechwood']",8,2016,6.0,0.2279
5398,Porter - Baltic,10.0,456,Porter,"['release', 'decided', 'fun', 'present', 'something', 'lot', 'folk', 'asking', 'coffee', 'version', 'baomj', 'listening', 'release', 'include', 'variant', 'baomj', 'vietnamese', 'cinnamon', 'local', 'coffee', 'use', 'creature', 'habit', 'ai', 'nt', 'broke', 'nt', 'fix', 'wax', 'black', 'released', 'february']",2,2017,2.0,0.2996
5399,IPA - Triple New England,10.5,3839,IPA,"['rare', 'fog', 'surprisingly', 'smooth', 'variant', 'fog', 'series', 'golden', 'promise', 'heavy', 'flaked', 'wheat', 'oat', 'bill', 'triple', 'dry', 'hopped', 'aggressively', 'mosaic', 'pacific', 'jade', 'citra', 'summit', 'ridiculous', 'amount', 'galaxy', 'fluffy', 'juicy', 'pillowy', 'dank']",10,2020,1.0,0.4208
5400,IPA - Sour,5.0,1613,IPA,"['hazy', 'sour', 'pacific', 'jade', 'southern', 'passion', 'african', 'queen', 'kettle', 'soured', 'sourness', 'really', 'pull', 'forward', 'tropical', 'followed', 'citrus', 'little', 'stone', 'fruit']",7,2020,1.0,0.2703
5401,Gluten-Free,8.0,3705,Other,"['gluten', 'freek', 'asheville', 'gluten', 'reduced', 'crafted', 'gluten', 'intolerance', 'sick', 'drinking', 'taste', 'like', 'freek', 'load', 'similar', 'grain', 'bill', 'freak', 'nature', 'dipa', 'designed', 'big', 'hoppy', 'uniquely', 'wicked', 'weed', 'gluten', 'freek', 'contains', 'le', 'ppm', 'gluten']",2,2014,1.0,0.2486
5402,Porter - Coffee,4.5,465,Porter,"['cor', 'blimey', 'collaboration', 'single', 'roaster', 'produced', 'porter', 'dark', 'colour', 'rich', 'robust', 'distinct', 'roasted', 'coffee', 'fruity', 'chocolate', 'luvly', 'jubbly']",4,2016,6.0,0.2843
