beer_style,abv,num_ratings,beer_style_group,month_added,year_added,Dominant_Topic,Topic_Perc_Contrib
Porter - American,11.5,284,Porter,1,2018,3.0,0.2024
Rauchbier,5.5,405,Other,3,2016,6.0,0.209
IPA - American,7.0,787,IPA,4,2018,1.0,0.313
Bock - Eisbock (Traditional),15.0,3873,Bock,8,2017,4.0,0.1941
IPA - Triple New England,11.0,779,IPA,6,2020,1.0,0.1975
Sour - Fruited,6.5,170,Sour,8,2019,3.0,0.2185
Stout - Milk / Sweet,6.1,228,Stout,11,2017,6.0,0.252
Red Ale - Other,5.8,410,Red Ale,3,2020,5.0,0.2178
Bière de Champagne / Bière Brut,10.6,232,Other,5,2017,5.0,0.2082
Sour - Other,7.7,855,Sour,5,2020,2.0,0.3091
Lager - Pale,5.2,349,Lager,3,2018,1.0,0.1988
English Mild Ale,2.9,179,Other,7,2012,4.0,0.1949
Porter - Baltic,11.7,2558,Porter,7,2018,6.0,0.3038
Cider - Traditional,4.5,170,Cider,5,2012,5.0,0.2432
Pale Ale - American,6.5,529,Pale Ale,2,2017,1.0,0.2151
Porter - Baltic,6.5,181,Porter,4,2019,6.0,0.224
Porter - Other,6.4,1737,Porter,11,2019,6.0,0.3657
Pale Ale - American,5.4,1814,Pale Ale,12,2014,1.0,0.2796
Winter Ale,5.3,184,Other,12,2011,5.0,0.1905
Stout - Foreign / Export,6.2,762,Stout,3,2016,4.0,0.2753
Sour - Flanders Oud Bruin,7.2,566,Sour,8,2017,3.0,0.319
Stout - White,5.5,219,Stout,4,2020,6.0,0.3022
IPA - Belgian,7.0,174,IPA,11,2013,5.0,0.195
Sour - Flanders Red Ale,7.5,5512,Sour,11,2010,3.0,0.2321
IPA - International,6.8,4792,IPA,2,2019,1.0,0.3365
Cream Ale,8.1,426,Other,1,2020,6.0,0.2316
Gluten-Free,4.5,172,Other,7,2014,5.0,0.2845
Stout - Imperial / Double,15.0,1347,Stout,10,2016,6.0,0.2545
Stout - Russian Imperial,9.4,173,Stout,5,2012,4.0,0.2741
Stout - Imperial / Double Pastry,14.4,1673,Stout,10,2018,6.0,0.1879
IPA - Quadruple,11.5,356,IPA,11,2020,1.0,0.1795
Barleywine - English,14.0,798,Barleywine,4,2020,3.0,0.2609
Stout - Russian Imperial,14.2,1127,Stout,9,2018,6.0,0.2836
Lager - Helles,4.9,4128,Lager,6,2016,2.0,0.2365
IPA - International,3.5,523,IPA,3,2018,1.0,0.1893
Farmhouse Ale - Saison,7.6,774,Farmhouse Ale,9,2018,3.0,0.3146
Sour - Other,5.7,252,Sour,4,2017,2.0,0.2186
IPA - Triple,11.5,1310,IPA,2,2020,1.0,0.2061
Pale Ale - English,5.0,544,Pale Ale,5,2012,4.0,0.2093
California Common,7.9,11525,Other,3,2017,4.0,0.1989
Fruit Beer,8.666,2076,Other,8,2019,1.0,0.1813
Mead - Metheglin,6.1,199,Mead,1,2019,4.0,0.2206
Sour - Flanders Red Ale,7.0,1869,Sour,6,2018,3.0,0.3042
Pilsner - Czech,4.3,308,Pilsner,11,2014,5.0,0.2303
Malt Beer,5.5,180,Other,1,2020,6.0,0.2061
Stout - English,4.4,2729,Stout,5,2012,6.0,0.2736
Mead - Braggot,12.0,192,Mead,6,2015,3.0,0.2363
Brown Ale - American,4.5,258,Brown Ale,9,2018,5.0,0.183
Porter - Other,6.5,721,Porter,8,2016,2.0,0.2241
Farmhouse Ale - Bière de Garde,10.2,995,Farmhouse Ale,1,2016,3.0,0.2984
Winter Warmer,4.5,200,Other,11,2013,6.0,0.2006
Lager - American Light,4.5,433,Lager,8,2019,2.0,0.2564
Kellerbier / Zwickelbier,4.7,5731,Other,9,2010,4.0,0.2293
IPA - Milkshake,6.6,1094,IPA,1,2020,1.0,0.2146
IPA - New England,6.9,1061,IPA,7,2020,1.0,0.2424
Stout - Imperial / Double,14.0,3258,Stout,9,2020,6.0,0.2984
Stout - Irish Dry,4.4,469,Stout,8,2011,4.0,0.2906
Fruit Beer,4.8,6267,Other,9,2013,5.0,0.3654
Barleywine - American,11.0,2790,Barleywine,1,2019,6.0,0.1988
English Bitter,4.5,698,Other,6,2014,2.0,0.2124
Pilsner - Other,4.7,51113,Pilsner,8,2018,5.0,0.2958
Brown Ale - English,7.0,882,Brown Ale,11,2017,6.0,0.1846
IPA - Red,6.8,367,IPA,1,2018,1.0,0.2172
Scottish Ale,6.8,5952,Other,8,2011,4.0,0.3032
IPA - Black / Cascadian Dark Ale,4.8,188,IPA,5,2015,5.0,0.1761
Pale Ale - American,6.6,34796,Pale Ale,7,2013,1.0,0.2953
Stout - Imperial / Double Coffee,13.9,3660,Stout,12,2018,6.0,0.2165
Sour - Other,6.5,728,Sour,5,2020,1.0,0.2338
IPA - American,7.0,1006,IPA,11,2012,1.0,0.1838
Chilli / Chile Beer,7.4,2892,Other,7,2016,2.0,0.2981
Fruit Beer,5.2,361,Other,4,2015,4.0,0.1926
IPA - Rye,7.0,1543,IPA,6,2017,1.0,0.2222
Lager - Euro Dark,5.26,182,Lager,4,2019,5.0,0.1879
Pilsner - Czech,4.9,209,Pilsner,5,2015,5.0,0.3348
Porter - English,4.8,169,Porter,3,2016,6.0,0.2257
IPA - Imperial / Double,8.2,7580,IPA,3,2019,1.0,0.3667
Kellerbier / Zwickelbier,5.2,703,Other,4,2017,1.0,0.1967
Stout - Irish Dry,5.6,9378,Stout,8,2017,4.0,0.258
Mead - Braggot,15.0,182,Mead,6,2017,2.0,0.1919
Festbier,5.6,297,Other,9,2018,4.0,0.2293
Sour - Other,6.5,436,Sour,6,2019,6.0,0.2074
Winter Ale,6.0,343,Other,11,2013,4.0,0.1988
Wheat Beer - American Pale Wheat,4.5,419,Wheat Beer,11,2015,5.0,0.2222
Scotch Ale / Wee Heavy,8.5,44963,Other,8,2010,4.0,0.292
IPA - International,7.0,2062,IPA,11,2018,5.0,0.2681
Stout - Foreign / Export,8.6,771,Stout,5,2016,3.0,0.3284
Red Ale - Other,5.1,342,Red Ale,5,2011,4.0,0.241
Stout - Oatmeal,4.6,301,Stout,8,2010,4.0,0.2168
Porter - Coffee,6.0,16884,Porter,6,2014,6.0,0.3984
Fruit Beer,7.14,434,Other,7,2020,1.0,0.2015
IPA - Session / India Session Ale,5.7,259,IPA,7,2014,1.0,0.2698
Porter - English,4.5,3117,Porter,3,2018,6.0,0.3081
Lager - American Light,3.9,1416,Lager,6,2018,1.0,0.2905
Lager - Japanese Rice,4.5,540,Lager,5,2020,5.0,0.3288
Cream Ale,4.6,623,Other,5,2017,4.0,0.25
Grisette,4.8,1759,Other,7,2016,3.0,0.1971
Hefeweizen,4.7,365,Other,7,2012,5.0,0.2739
California Common,4.8,362,Other,2,2020,5.0,0.2488
Farmhouse Ale - Saison,4.7,368,Farmhouse Ale,10,2018,5.0,0.2315
IPA - Session / India Session Ale,3.5,320,IPA,10,2019,2.0,0.229
Pale Ale - International,3.5,429,Pale Ale,8,2017,4.0,0.2365
Lager - Pale,4.9,527,Lager,9,2016,2.0,0.2147
Barleywine - English,12.0,619,Barleywine,8,2019,3.0,0.2417
Mead - Pyment,14.5,151,Mead,3,2015,3.0,0.2202
IPA - Sour,7.0,5852,IPA,2,2018,1.0,0.2168
IPA - Imperial / Double New England,8.0,1410,IPA,1,2018,2.0,0.235
Pilsner - Czech,4.9,242,Pilsner,7,2020,5.0,0.3394
Stout - Imperial / Double Coffee,12.0,14324,Stout,8,2011,6.0,0.2262
Strong Ale - American,13.6,1086,Strong Ale,4,2018,6.0,0.216
Fruit Beer,6.5,681,Other,12,2019,1.0,0.1813
Cider - Herbed / Spiced / Hopped,6.9,426,Cider,4,2018,2.0,0.3272
IPA - American,7.2,739,IPA,8,2020,2.0,0.2603
Pilsner - Imperial / Double,9.0,305,Pilsner,4,2015,5.0,0.1813
Grisette,3.5,403,Other,1,2018,3.0,0.2077
Lager - Dortmunder / Export,4.8,192,Lager,1,2020,5.0,0.2922
Red Ale - American Amber / Red,5.6,8965,Red Ale,9,2014,5.0,0.1902
IPA - Rye,5.9,543,IPA,7,2015,4.0,0.2326
Bock - Eisbock (Traditional),26.1,415,Bock,6,2016,6.0,0.2488
Belgian Tripel,11.0,1585,Belgian,1,2017,3.0,0.2005
Stout - Pastry,5.0,942,Stout,8,2019,6.0,0.2133
Hefeweizen,6.2,9381,Other,9,2014,5.0,0.2344
Cider - Herbed / Spiced / Hopped,8.4,764,Cider,8,2018,6.0,0.2106
IPA - Imperial / Double,8.0,737,IPA,3,2020,2.0,0.2707
IPA - Milkshake,6.2,225,IPA,1,2020,1.0,0.2488
Stout - Foreign / Export,8.3,229,Stout,4,2017,6.0,0.1944
IPA - New England,6.6,2097,IPA,8,2019,1.0,0.2958
Barleywine - Other,14.5,1694,Barleywine,11,2018,6.0,0.2473
Stout - English,6.4,180,Stout,9,2018,6.0,0.284
Sour - Fruited Gose,5.3,2737,Sour,5,2020,4.0,0.2567
IPA - Sour,7.3,281,IPA,3,2019,3.0,0.2103
Belgian Quadrupel,10.0,187,Belgian,7,2012,3.0,0.2061
Gruit / Ancient Herbed Ale,6.9,428,Other,7,2018,3.0,0.3498
Stout - Other,4.5,219,Stout,2,2014,4.0,0.1879
Stout - Oyster,4.5,1134,Stout,8,2010,6.0,0.2378
Lager - American Light,4.5,743,Lager,4,2019,5.0,0.2368
Stout - White,4.8,8854,Stout,1,2016,6.0,0.2171
Winter Warmer,5.5,1160,Other,11,2015,6.0,0.1926
IPA - English,5.6,1521,IPA,2,2016,4.0,0.2204
Stout - White,7.2,11763,Stout,2,2018,6.0,0.2008
Cider - Other Fruit,5.3,677,Cider,2,2020,3.0,0.2546
Pale Ale - English,4.4,180,Pale Ale,8,2016,1.0,0.2275
IPA - Session / India Session Ale,4.7,2829,IPA,7,2014,1.0,0.2581
IPA - New England,6.0,1261,IPA,7,2018,6.0,0.2294
Red Ale - American Amber / Red,10.8,400,Red Ale,4,2016,6.0,0.2299
Lager - Euro Pale,4.0,607,Lager,11,2014,5.0,0.2101
Märzen,5.0,211,Other,9,2017,5.0,0.2564
Strong Ale - English,6.1,208,Strong Ale,6,2012,6.0,0.2204
Farmhouse Ale - Saison,4.7,204,Farmhouse Ale,1,2018,1.0,0.3292
Stout - Imperial / Double,10.0,1506,Stout,1,2019,6.0,0.3008
Pale Ale - New Zealand,4.4,191,Pale Ale,10,2016,4.0,0.2285
IPA - Black / Cascadian Dark Ale,7.2,38475,IPA,4,2012,2.0,0.2425
Strong Ale - English,7.7,406,Strong Ale,11,2015,2.0,0.424
Pale Ale - English,5.0,208,Pale Ale,8,2016,2.0,0.2425
Stout - Milk / Sweet,4.5,1732,Stout,6,2015,6.0,0.1996
IPA - American,6.5,1335,IPA,8,2018,1.0,0.3694
Lager - Pale,4.2,2076,Lager,5,2011,4.0,0.2106
Gluten-Free,6.5,26635,Other,2,2017,1.0,0.315
IPA - Triple,10.3,4073,IPA,7,2019,1.0,0.293
Lager - Amber,4.5,183,Lager,9,2020,4.0,0.2273
Belgian Quadrupel,14.0,937,Belgian,7,2017,3.0,0.321
Kombucha,8.0,2388,Other,3,2016,3.0,0.2323
Sour - Fruited Gose,3.1,178,Sour,2,2020,5.0,0.1902
Pilsner - Other,5.5,337,Pilsner,6,2020,2.0,0.2025
Pilsner - Other,4.7,556,Pilsner,6,2014,5.0,0.3477
Pale Ale - Australian,5.0,422,Pale Ale,4,2018,1.0,0.2469
Lager - Helles,4.6,381,Lager,7,2015,5.0,0.254
Cream Ale,4.3,224,Other,3,2014,5.0,0.2497
Golden Ale,3.8,763,Other,6,2014,2.0,0.1877
Red Ale - American Amber / Red,7.3,354,Red Ale,4,2016,3.0,0.2101
Sour - Fruited Gose,5.0,1203,Sour,3,2018,4.0,0.1914
Smoked Beer,10.8,952,Other,11,2010,6.0,0.2222
IPA - New England,6.0,613,IPA,12,2020,1.0,0.2416
Red Ale - American Amber / Red,5.2,186,Red Ale,6,2015,4.0,0.2963
Stout - Oatmeal,6.0,374,Stout,9,2010,2.0,0.2294
Sour - Berliner Weisse,5.2,188,Sour,12,2017,3.0,0.2284
IPA - Black / Cascadian Dark Ale,6.0,557,IPA,5,2016,4.0,0.1944
IPA - Imperial / Double,8.8,3648,IPA,9,2014,1.0,0.2554
Pumpkin / Yam Beer,10.5,548,Other,8,2020,6.0,0.2578
Golden Ale,6.2,439,Other,12,2018,6.0,0.2471
Mead - Traditional,10.0,169,Mead,1,2020,3.0,0.2428
IPA - American,6.8,2397,IPA,10,2016,2.0,0.2984
Sour - Other,2.4,286,Sour,11,2017,2.0,0.2056
Freeze-Distilled Beer,32.0,12101,Other,8,2010,3.0,0.2527
Lambic - Framboise,6.2,7407,Lambic,12,2011,3.0,0.3812
IPA - Sour,5.7,1260,IPA,9,2019,4.0,0.2176
Pale Ale - Australian,5.4,2060,Pale Ale,11,2019,5.0,0.2397
Cider - Traditional,4.9,769,Cider,4,2011,5.0,0.2167
Freeze-Distilled Beer,5.5,19878,Other,8,2010,4.0,0.21
Wheat Beer - American Pale Wheat,5.8,180,Wheat Beer,9,2015,4.0,0.2183
Barleywine - English,7.2,1331,Barleywine,8,2011,5.0,0.1925
Porter - Imperial / Double Baltic,9.6,597,Porter,11,2019,2.0,0.24
Cider - Dry,5.0,214,Cider,7,2018,5.0,0.2009
Stout - Coffee,7.0,350,Stout,4,2018,6.0,0.254
Lager - American,5.2,714,Lager,10,2019,1.0,0.2024
IPA - Rye,3.8,208,IPA,11,2016,2.0,0.1786
IPA - American,6.6,707,IPA,12,2019,2.0,0.1981
Sour - Other,6.0,2309,Sour,6,2018,1.0,0.2413
Lager - Vienna,5.2,160,Lager,11,2013,1.0,0.235
Strong Ale - American,6.3,425,Strong Ale,11,2014,4.0,0.2258
Porter - Imperial / Double Coffee,8.0,8881,Porter,8,2014,6.0,0.385
Pale Ale - International,4.7,463,Pale Ale,1,2017,1.0,0.2987
Table Beer,4.0,487,Other,8,2016,3.0,0.3005
Porter - American,6.2,3719,Porter,1,2015,6.0,0.2739
Wheat Beer - American Pale Wheat,4.8,207,Wheat Beer,11,2013,5.0,0.2963
Ginger Beer,6.2,378,Other,7,2017,1.0,0.2308
Sour - Fruited Gose,3.5,2555,Sour,5,2017,4.0,0.2024
Hefeweizen,5.2,2921,Other,11,2016,5.0,0.2833
IPA - English,6.8,397,IPA,10,2019,1.0,0.1988
Farmhouse Ale - Saison,6.0,870,Farmhouse Ale,2,2019,3.0,0.2589
Sour - Fruited,4.5,386,Sour,11,2019,2.0,0.3221
Lambic - Kriek,6.5,225,Lambic,12,2017,3.0,0.2743
Lager - American,5.0,230,Lager,7,2020,1.0,0.2401
Pilsner - Other,4.5,2137,Pilsner,11,2016,1.0,0.2192
Rye Beer,6.5,528,Other,10,2017,3.0,0.1987
Gruit / Ancient Herbed Ale,5.5,275,Other,6,2018,3.0,0.2584
Sour - Gose,4.8,335,Sour,4,2020,1.0,0.2135
IPA - Black / Cascadian Dark Ale,6.5,791,IPA,12,2014,4.0,0.2222
Stout - English,5.7,154,Stout,12,2020,4.0,0.1929
Pale Ale - New England,5.4,19795,Pale Ale,10,2016,1.0,0.2873
IPA - Black / Cascadian Dark Ale,6.0,177,IPA,5,2017,3.0,0.1992
Mead - Melomel,14.0,299,Mead,7,2019,3.0,0.2395
Porter - American,6.0,1312,Porter,9,2017,6.0,0.2778
IPA - Brut,7.0,989,IPA,12,2018,1.0,0.2515
Red Ale - American Amber / Red,4.8,279,Red Ale,3,2015,1.0,0.275
Sour - Fruited Berliner Weisse,3.2,1717,Sour,11,2018,3.0,0.2172
IPA - Milkshake,6.9,216,IPA,8,2020,2.0,0.2347
Grape Ale - Other,7.5,17933,Other,4,2018,3.0,0.2706
Kombucha,6.0,431,Other,5,2015,3.0,0.2024
Rye Beer,5.4,159,Other,9,2014,1.0,0.1988
Scotch Ale / Wee Heavy,4.8,399,Other,12,2013,5.0,0.1907
Bock - Eisbock (Traditional),23.5,212,Bock,11,2018,2.0,0.2798
Porter - Baltic,10.0,364,Porter,8,2016,2.0,0.2877
Cider - Other Fruit,5.5,53515,Cider,3,2011,3.0,0.2202
Lager - American,5.5,428,Lager,5,2020,1.0,0.2422
Lager - Pale,4.2,356,Lager,3,2018,5.0,0.3003
Bock - Weizenbock,18.0,1015,Bock,7,2011,3.0,0.2396
Scotch Ale / Wee Heavy,13.5,974,Other,6,2016,6.0,0.2275
Lager - Euro Dark,7.0,1713,Lager,11,2011,2.0,0.2457
IPA - English,7.2,8297,IPA,4,2010,4.0,0.2351
Porter - Imperial / Double,13.5,5499,Porter,4,2017,6.0,0.2447
Barleywine - English,13.0,1996,Barleywine,5,2014,3.0,0.256
Lager - Amber,4.8,163,Lager,4,2019,5.0,0.1922
Stout - Russian Imperial,12.0,341,Stout,12,2016,3.0,0.2471
Wheat Beer - Witbier,5.1,245,Wheat Beer,3,2015,5.0,0.1969
Farmhouse Ale - Saison,6.2,188,Farmhouse Ale,10,2016,2.0,0.327
Sour - Fruited Gose,5.8,2143,Sour,4,2019,1.0,0.2121
Smoked Beer,10.0,7992,Other,6,2015,5.0,0.2237
Chilli / Chile Beer,4.9,376,Other,5,2011,6.0,0.1988
Porter - English,4.5,347,Porter,1,2019,4.0,0.1795
Wild Ale - Other,5.9,245,Other,5,2020,3.0,0.2046
Wheat Beer - Witbier,5.2,223,Wheat Beer,2,2014,5.0,0.2374
Cider - Herbed / Spiced / Hopped,6.9,362,Cider,9,2017,2.0,0.3671
Cream Ale,5.5,229,Other,7,2020,6.0,0.2981
Cider - Sweet,7.0,172,Cider,12,2012,2.0,0.2628
Barleywine - American,11.0,1143,Barleywine,3,2014,3.0,0.3282
Stout - Oatmeal,5.1,320,Stout,4,2017,6.0,0.2743
IPA - Red,7.0,279,IPA,9,2016,4.0,0.1937
IPA - International,6.0,286,IPA,5,2017,4.0,0.2107
IPA - Rye,9.5,881,IPA,8,2016,3.0,0.2364
Smoked Beer,6.0,2469,Other,3,2013,5.0,0.1879
Lager - Dortmunder / Export,6.3,161,Lager,10,2016,5.0,0.2151
Strong Ale - English,8.9,802,Strong Ale,10,2015,6.0,0.195
Fruit Beer,8.81,898,Other,12,2019,6.0,0.195
IPA - Imperial / Double New England,8.5,2037,IPA,2,2019,1.0,0.2716
Old Ale,5.0,731,Other,5,2012,5.0,0.2423
Stout - Russian Imperial,12.75,305,Stout,4,2020,6.0,0.2716
Red Ale - Irish,6.8,1478,Red Ale,6,2016,3.0,0.2396
IPA - Black / Cascadian Dark Ale,7.0,6336,IPA,11,2019,4.0,0.2572
IPA - Milkshake,7.5,1086,IPA,3,2020,1.0,0.2077
IPA - International,6.5,5101,IPA,9,2018,3.0,0.1761
IPA - Belgian,6.5,178,IPA,2,2016,4.0,0.22
Spiced / Herbed Beer,4.5,177,Other,5,2017,4.0,0.2138
Gruit / Ancient Herbed Ale,4.4,2317,Other,5,2013,3.0,0.268
Barleywine - English,14.8,2541,Barleywine,7,2012,2.0,0.2095
IPA - New England,7.0,236,IPA,4,2020,1.0,0.313
Bock - Single / Traditional,6.5,159,Bock,8,2019,3.0,0.2202
Wheat Beer - American Pale Wheat,4.4,229,Wheat Beer,10,2019,1.0,0.2384
Winter Ale,5.5,248,Other,8,2012,6.0,0.2164
Pale Ale - New Zealand,5.9,486,Pale Ale,12,2016,1.0,0.2284
Cider - Traditional,6.0,624,Cider,3,2012,5.0,0.2031
Lager - Euro Pale,4.1,402,Lager,5,2015,5.0,0.2967
Spiced / Herbed Beer,7.0,561,Other,7,2017,6.0,0.2605
Pilsner - Czech,4.8,1404,Pilsner,12,2018,3.0,0.2932
Red Ale - American Amber / Red,5.6,232,Red Ale,11,2016,6.0,0.1811
Extra Special / Strong Bitter,5.5,150,Other,6,2013,4.0,0.1808
Malt Liquor ,7.5,281,Other,7,2019,4.0,0.1958
Kölsch,5.0,234,Other,10,2017,5.0,0.2063
Stout - Imperial / Double,15.1,2868,Stout,9,2012,2.0,0.2855
Honey Beer,5.0,519,Other,6,2015,3.0,0.2088
Stout - Coffee,5.6,696,Stout,4,2019,6.0,0.2664
Stout - Other,13.0,1600,Stout,2,2019,6.0,0.1987
Bière de Champagne / Bière Brut,12.0,549,Other,2,2017,1.0,0.3084
Barleywine - American,12.0,2272,Barleywine,11,2018,4.0,0.2932
IPA - Rye,4.5,5165,IPA,2,2016,6.0,0.2116
IPA - White,5.0,371,IPA,1,2014,2.0,0.1845
Australian Sparkling Ale,4.5,1436,Other,5,2016,5.0,0.2469
IPA - Imperial / Double,8.5,6100,IPA,6,2018,1.0,0.2246
IPA - Triple New England,10.0,1910,IPA,6,2020,1.0,0.2948
Cider - Other Fruit,5.0,246,Cider,9,2020,3.0,0.2238
Stout - Imperial / Double,15.0,896,Stout,1,2020,6.0,0.2023
Golden Ale,4.5,244,Other,4,2019,2.0,0.2019
Blonde Ale,4.1,326,Other,7,2011,4.0,0.1846
Sour - Other,1.6,909,Sour,7,2015,6.0,0.195
Gluten-Free,5.0,228,Other,5,2018,1.0,0.215
IPA - Farmhouse,6.0,593,IPA,11,2019,4.0,0.1958
Barleywine - English,11.0,3078,Barleywine,2,2019,2.0,0.2492
Sour - Flanders Oud Bruin,6.2,317,Sour,5,2017,3.0,0.2099
Lager - Vienna,4.3,150,Lager,12,2018,2.0,0.1852
Red Ale - American Amber / Red,6.0,1867,Red Ale,6,2012,4.0,0.2204
Scotch Ale / Wee Heavy,11.7,587,Other,9,2013,3.0,0.2164
IPA - Belgian,8.4,1509,IPA,5,2017,4.0,0.2286
Lambic - Kriek,5.9,369,Lambic,5,2019,3.0,0.2202
Non-Alcoholic Beer,0.5,2003,Other,8,2017,5.0,0.2322
Scotch Ale / Wee Heavy,8.0,10038,Other,7,2019,6.0,0.2784
Porter - Baltic,9.0,471,Porter,11,2018,6.0,0.2683
Stout - Russian Imperial,9.5,158,Stout,5,2013,1.0,0.2007
Stout - Coffee,7.6,1053,Stout,5,2016,6.0,0.3356
Lager - Amber,6.0,258,Lager,7,2017,2.0,0.4114
Blonde Ale,4.3,508,Other,3,2017,5.0,0.1977
Stout - Russian Imperial,10.0,1953,Stout,3,2018,6.0,0.3307
Mead - Melomel,14.0,971,Mead,12,2017,6.0,0.2241
Table Beer,3.5,201,Other,7,2018,3.0,0.1795
Sour - Gose,4.2,537,Sour,11,2016,3.0,0.2147
IPA - Milkshake,6.1,2134,IPA,10,2018,6.0,0.2311
IPA - English,5.0,454,IPA,12,2014,4.0,0.2538
Stout - Oatmeal,5.6,1345,Stout,7,2016,4.0,0.2395
Pale Ale - Belgian,6.0,199,Pale Ale,9,2015,5.0,0.1955
Brown Ale - Other,5.0,268,Brown Ale,1,2017,1.0,0.2357
Scottish Ale,4.6,214,Other,12,2013,5.0,0.2255
Barleywine - English,14.0,239,Barleywine,10,2015,2.0,0.1908
Sour - Fruited,6.0,1948,Sour,4,2020,6.0,0.2147
IPA - Milkshake,6.0,4890,IPA,1,2020,2.0,0.2947
Stout - Foreign / Export,7.2,771,Stout,1,2020,6.0,0.1927
Scottish Export Ale,4.5,6624,Other,7,2011,2.0,0.265
Pale Ale - New England,5.4,332,Pale Ale,5,2020,1.0,0.2873
Sour - Fruited Gose,4.7,407,Sour,10,2015,2.0,0.4795
English Bitter,4.6,305,Other,6,2012,2.0,0.2253
Kölsch,5.5,6341,Other,7,2019,5.0,0.3265
Bock - Hell / Maibock / Lentebock,6.8,231,Bock,7,2012,2.0,0.255
Blonde Ale,4.0,197,Other,4,2016,2.0,0.3537
Kellerbier / Zwickelbier,4.9,248,Other,12,2017,5.0,0.177
Stout - Foreign / Export,6.6,237,Stout,5,2015,4.0,0.2236
IPA - Imperial / Double New England,8.0,1192,IPA,10,2020,1.0,0.3677
Red Ale - Irish,4.2,150,Red Ale,7,2011,4.0,0.2559
IPA - Sour,7.0,5288,IPA,11,2017,1.0,0.2418
Porter - Imperial / Double,10.5,14671,Porter,10,2010,4.0,0.3889
Bière de Champagne / Bière Brut,10.0,293,Other,9,2016,2.0,0.2034
Smoked Beer,5.8,980,Other,10,2012,2.0,0.2097
Pilsner - Czech,4.2,1069,Pilsner,8,2019,5.0,0.1811
Belgian Strong Dark Ale,8.9,152,Belgian,10,2019,3.0,0.2353
Sour - Fruited,6.7,1877,Sour,2,2014,3.0,0.3537
IPA - Imperial / Double Milkshake,10.1,650,IPA,5,2020,1.0,0.2385
Brown Ale - Other,6.3,528,Brown Ale,8,2019,6.0,0.2451
Lager - Dortmunder / Export,4.9,477,Lager,8,2017,2.0,0.3684
Pale Ale - International,4.0,210,Pale Ale,7,2015,1.0,0.2486
Mead - Braggot,12.8,575,Mead,6,2019,3.0,0.2481
Strong Ale - American,8.5,517,Strong Ale,3,2019,3.0,0.194
Wheat Beer - Other,5.4,8289,Wheat Beer,8,2019,5.0,0.2043
Altbier,5.3,315,Other,7,2016,4.0,0.2626
Festbier,6.25,434,Other,12,2020,5.0,0.195
Sour - Fruited,7.3,1739,Sour,2,2018,1.0,0.2222
IPA - New England,8.5,1324,IPA,6,2016,2.0,0.2632
Rye Beer,5.0,29574,Other,9,2016,4.0,0.2077
Golden Ale,8.5,430,Other,10,2017,1.0,0.324
Dark Ale,13.0,170,Other,1,2018,3.0,0.2479
Festbier,5.4,244,Other,8,2020,2.0,0.183
Lager - IPL (India Pale Lager),6.5,2503,Lager,11,2016,5.0,0.2495
Hefeweizen,4.7,708,Other,8,2016,5.0,0.2043
Sour - Fruited,4.0,1865,Sour,3,2020,3.0,0.2071
Red Ale - Other,4.9,339,Red Ale,10,2014,1.0,0.2459
Kvass,4.5,207,Other,7,2018,5.0,0.2607
IPA - Rye,4.2,1642,IPA,9,2016,3.0,0.1774
Mead - Braggot,7.0,204,Mead,10,2015,3.0,0.195
IPA - Imperial / Double Milkshake,9.0,961,IPA,3,2020,1.0,0.2206
Ginger Beer,4.5,185,Other,8,2019,3.0,0.1761
English Bitter,3.5,277,Other,5,2011,4.0,0.2162
Stout - Imperial / Double Pastry,10.0,306,Stout,7,2020,6.0,0.2261
Porter - Baltic,7.77,318,Porter,12,2018,6.0,0.2902
IPA - Sour,7.0,748,IPA,7,2018,1.0,0.1914
IPA - Black / Cascadian Dark Ale,6.0,359,IPA,5,2011,6.0,0.2208
Rye Beer,4.3,437,Other,12,2012,4.0,0.2377
Pilsner - Other,5.2,184,Pilsner,1,2016,1.0,0.2394
Freeze-Distilled Beer,41.0,10606,Other,3,2010,2.0,0.3098
Sour - Fruited,6.9,228,Sour,6,2019,3.0,0.2804
IPA - Milkshake,6.6,2051,IPA,3,2018,4.0,0.2333
Strong Ale - American,13.8,15306,Strong Ale,12,2015,3.0,0.4304
Bock - Weizenbock,9.3,385,Bock,3,2015,5.0,0.2886
English Bitter,4.6,280,Other,9,2016,4.0,0.287
Scottish Ale,4.5,376,Other,7,2012,4.0,0.2141
Sour - Gose,4.0,677,Sour,10,2018,5.0,0.2133
Sour - Berliner Weisse,3.5,400,Sour,6,2019,3.0,0.2369
Bière de Champagne / Bière Brut,5.8,316,Other,7,2018,1.0,0.224
Stout - Milk / Sweet,7.5,471,Stout,7,2020,6.0,0.2715
IPA - Imperial / Double New England,7.5,222,IPA,2,2019,1.0,0.2237
Pale Ale - New England,3.2,268,Pale Ale,10,2019,1.0,0.2519
Lager - Euro Pale,5.2,156,Lager,6,2019,5.0,0.2467
Pilsner - Imperial / Double,6.7,507,Pilsner,1,2015,5.0,0.1749
Lambic - Kriek,6.5,239,Lambic,2,2016,3.0,0.2585
Porter - English,6.4,2927,Porter,3,2014,6.0,0.2113
Cream Ale,7.3,2968,Other,12,2015,2.0,0.1993
Cream Ale,4.7,866,Other,3,2016,5.0,0.2056
Hefeweizen,5.0,199,Other,2,2017,4.0,0.2252
Stout - Other,4.1,245,Stout,9,2019,3.0,0.2625
